Drug	Chemblid	max_phase	formula	synonyms	canonical
ISOSORBIDE DINITRATE	CHEMBL6622	4.0	C6H8N2O8	Angitak;;;C01DA08;;;Carvasin;;;Cedocard;;;Cedocard-10;;;Cedocard-20;;;Cedocard-40;;;Cedocard-5;;;Cedocard ret;;;Dilatrate;;;Dilatrate-sr;;;Diluted isosorbide dinitrate;;;Diluted isosorbide dinitrate rs;;;Imtack;;;Isocard;;;Isoket 10;;;Isoket 20;;;Isoket 5;;;Isoket ret 20;;;Isoket ret 40;;;Iso mack;;;Isordil;;;Isordil tembids;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Jeridin;;;NSC-80038;;;Soni-slo;;;Sorbichew;;;Sorbid-20 sa;;;Sorbid-40 sa;;;Sorbide nitrate;;;Sorbidilat;;;Sorbid sa;;;Sorbitrate;;;Vascardin	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
MIANSERIN	CHEMBL6437	4.0	C18H20N2	J16.389I;;;Mianserin;;;Mianserin;;;Mianserin;;;Mianserin;;;Mianserin	CN1CCN2c3ccccc3Cc3ccccc3C2C1
IMIPRAMINE	CHEMBL11	4.0	C19H24N2	Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Janimine;;;NSC-169866;;;ORG-2463;;;Pramine;;;Presamine;;;Tofranil;;;Tofranil-PM;;;Trimipramine maleate impurity, imipramine-	CN(C)CCCN1c2ccccc2CCc2ccccc21
INDAPAMIDE	CHEMBL406	4.0	C16H16ClN3O3S	Cardide sr;;;Ethibide xl;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indaxa 2.5;;;Indipam xl;;;KYD-041;;;Lozol;;;Mapemid xl;;;Natrilix;;;Natrilix sr;;;Nindaxa 2.5;;;Opumide 2.5;;;Rawel xl;;;S-1520;;;SE-1520;;;Tensaid xl;;;Varbim xl	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
FLUMAZENIL	CHEMBL407	4.0	C15H14FN3O3	Anexate;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazepil;;;Flumazepil;;;Mazicon;;;RO-151788;;;RO-15-1788;;;RO 15-1788/000;;;RO-151788000;;;RO-1722;;;RO-41-8157;;;Romazicon	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
TROGLITAZONE	CHEMBL408	4.0	C24H27NO5S	CI-991;;;CS-045;;;GR92132X;;;GR-92132X;;;Prelay;;;Rezulin;;;Rezulin;;;Romozin;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
BICALUTAMIDE	CHEMBL409	4.0	C18H14F4N2O4S	Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Calutide;;;Casodex;;;Casodex;;;Cosudex;;;ICI 176,334;;;ICI-176334;;;ICI176,334-1;;;Kalumid	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
DIAZEPAM	CHEMBL12	4.0	C16H13ClN2O	Alupram 10;;;Alupram 2;;;Alupram 5;;;Apozepam;;;Atensine;;;Dialar;;;Dialar fte;;;Diastat;;;Diastat acudial;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam civ;;;Diazepam intensol;;;Dizac;;;E-Pam;;;LA III;;;LA-III;;;Nrl-1;;;NRL-1;;;NSC-169897;;;NSC-77518;;;Paxel;;;Q-pam;;;Relanium;;;RO 5-2807;;;RO-52807;;;RO-5-2807;;;Scriptopam;;;Serenack;;;Solis;;;Stesolid;;;Tensium;;;Tranimul;;;Valclair;;;Valium;;;Valrelease;;;Valtoco;;;Vivol;;;WY-3467	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
METOPROLOL	CHEMBL13	4.0	C15H25NO3	CGP-2175;;;Lopressidone;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Toprol-XL	COCCc1ccc(OCC(O)CNC(C)C)cc1
DIETHYLSTILBESTROL	CHEMBL411	4.0	C18H20O2	Apstil;;;Cyren a;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Distilbene;;;Estrobene;;;Estrogenine;;;Estromenin;;;Fonatol;;;New-estranol 1;;;NSC-3070;;;Palestrol;;;Stilbestroform;;;Stilbestrol;;;Stilbestrol;;;Stilbetin;;;Stilboesterol;;;Stilboestrol;;;Synestrin;;;Synthestrin;;;Tampovagan	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
MECAMYLAMINE	CHEMBL267936	4.0	C11H21N	Mecamylamine;;;Mecamylamine;;;Mecamylamine;;;Mecamylamine;;;Mecamylamine	CNC1(C)C2CCC(C2)C1(C)C
CARBACHOL	CHEMBL14	4.0	C6H15ClN2O2	Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbacholine Chloride;;;Carbacholine chloride;;;Carbamoylcholine chloride;;;Carbastat;;;Doryl;;;Miostat;;;NSC-32865	C[N+](C)(C)CCOC(N)=O.[Cl-]
PHENYTOIN	CHEMBL16	4.0	C15H12N2O2	Dilabid;;;Dilantin;;;Dilantin-125;;;Dilantin-30;;;Diphenylhydantoin;;;Diphenylhydantoin;;;Hydantol;;;NSC-8722;;;Phentytoin;;;Phenytek;;;Phenytex;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;SM-88 COMPONENT PHENYTOIN	O=C1N=C(O)NC1(c1ccccc1)c1ccccc1
SIROLIMUS	CHEMBL413	4.0	C51H79NO13	AY-22989;;;L04AA10;;;NSC-226080;;;Rapamune;;;Rapamycin;;;Rapamycin;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;SM-88 COMPONENT SIROLIMUS;;;WY-090217	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
TACROLIMUS	CHEMBL269732	4.0	C44H69NO12	FK506;;;FK-506;;;FR-900506;;;Prograf;;;Protopic;;;Tacrolimus;;;Tacrolimus monohydrate;;;Tacrolimus monohydrate	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CLOMIPRAMINE	CHEMBL415	4.0	C19H23ClN2	Anafranil;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;NSC-169865	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
METHOXSALEN	CHEMBL416	4.0	C12H8O4	8-methoxypsoralen;;;8-mop;;;Deltasoralen;;;Meladinine;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;NSC-45923;;;Oxsoralen;;;Oxsoralen-ultra;;;Puvasoralen-8;;;SM-88 COMPONENT METHOXSALEN;;;Uvadex;;;Xanthotoxin	COc1c2occc2cc2ccc(=O)oc12
DICHLORPHENAMIDE	CHEMBL17	4.0	C6H6Cl2N2O4S2	Daranide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Keveyis;;;Oratrol	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
ETHOXZOLAMIDE	CHEMBL18	4.0	C9H10N2O3S2	Cardrase;;;Ethamide;;;Ethoxzolamide;;;Ethoxzolamide;;;Ethoxzolamide;;;Ethoxzolamide	CCOc1ccc2nc(S(N)(=O)=O)sc2c1
EPIRUBICIN	CHEMBL417	4.0	C27H29NO11	Ellence;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;NSC-256942	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
METHAZOLAMIDE	CHEMBL19	4.0	C5H8N4O3S2	L-584601;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Neptazane;;;VVP808;;;VVP-808	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
ACETAZOLAMIDE	CHEMBL20	4.0	C4H6N4O3S2	Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Diamox;;;Diamox sr;;;Eytazox;;;L 579486;;;NSC-145177	CC(=O)Nc1nnc(S(N)(=O)=O)s1
MAFENIDE	CHEMBL419	4.0	C7H10N2O2S	4-homosulfanilamide;;;D06BA03;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;NSC-34632;;;Sulfamylon	NCc1ccc(S(N)(=O)=O)cc1
SULFANILAMIDE	CHEMBL21	4.0	C6H8N2O2S	Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide	Nc1ccc(S(N)(=O)=O)cc1
GUANABENZ	CHEMBL420	4.0	C8H8Cl2N4	Guanabenz;;;Guanabenz;;;Guanabenz;;;Guanabenz;;;Guanabenz;;;NSC-68982;;;WY-8678	N=C(N)N/N=C/c1c(Cl)cccc1Cl
TRIMETHOPRIM	CHEMBL22	4.0	C14H18N4O3	BW 56-72;;;BW-56-72;;;Ipral;;;Ledatrim;;;Monotrim;;;NIH-204;;;NSC-106568;;;Polytrim;;;Primsol;;;Proloprim;;;Proloprin;;;Syraprim;;;TCMDC-125538;;;TCMDC-125538;;;Tiempe;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimogal;;;Trimopan;;;Trimpex;;;Trimpex 200;;;Triprimix 200	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
VERAPAMIL	CHEMBL6966	4.0	C27H38N2O4	Calan;;;Covera-HS;;;CP-165331;;;CP-16,533-1;;;CP-16533-1;;;D-365;;;Iproveratril;;;Isoptin;;;NSC-272306NA;;;Tarka;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verelan	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
SULFASALAZINE	CHEMBL421	4.0	C18H14N4O5S	Azulfidine;;;Azulfidine;;;Azulfidine EN;;;Azulfidine en-tabs;;;Colizine;;;NSC-203730;;;NSC-667219;;;Salazopyrin;;;Salazopyrin e.c.;;;Salazopyrin-en;;;Salazosulfapyridine;;;Salazosulfapyridine;;;Salazosulfapyridine;;;Salicylazosulfapyridine;;;Salicylazosulfapyridine;;;S.a.s.;;;S.a.s.-500;;;SAS-500;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulphasalazine;;;Ucine	O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
COUMARIN	CHEMBL6466	4.0	C9H6O2	Coumarin;;;Coumarin;;;Coumarin;;;Coumarin;;;Lodema;;;NSC-8774	O=c1ccc2ccccc2o1
DILTIAZEM	CHEMBL23	4.0	C22H26N2O4S	Cardizem;;;Dilt-CD;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltzac;;;Tiamate;;;Tiazac	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ATENOLOL	CHEMBL24	4.0	C14H22N2O3	Antipressan;;;Atenamin;;;Atenix-100;;;Atenix-25;;;Atenix-50;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;C07AB03;;;Esatenolol;;;Ibinolo;;;ICI 66082;;;ICI 66,082;;;ICI-66082;;;Kentol;;;Tenormin;;;Tenormin 25;;;Tenormin l.s.;;;Totamol;;;Unibloc;;;Vasaten	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
ASPIRIN	CHEMBL25	4.0	C9H8O4	8-hour bayer;;;Acetosalic Acid;;;Acetylsalic acid;;;Acetylsalicylic Acid;;;Acetylsalicylic Acid;;;Acetylsalicylic acid;;;Acetylsalicylic acid;;;Alka rapid;;;Anadin all night;;;Angettes 75;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspro clr;;;BAY1019036;;;Bayer extra strength aspirin for migraine pain;;;Danamep;;;Disprin cv;;;Disprin direct;;;Durlaza;;;Ecotrin;;;Enprin;;;Equi-Prin;;;Gencardia;;;Levius;;;Max strgh aspro clr;;;Measurin;;;Micropirin ec;;;NSC-27223;;;NSC-406186;;;Nu-seals 300;;;Nu-seals 600;;;Nu-seals 75;;;Nu-seals cardio 75;;;Paynocil;;;Platet;;;Platet 300;;;Postmi 300;;;Postmi 75;;;Salicylic Acid Acetate;;;Vazalore	CC(=O)Oc1ccccc1C(=O)O
TRIFLUOPERAZINE	CHEMBL422	4.0	C21H24F3N3S	Amylozine;;;NSC-17474;;;NSC-46061;;;RP-7623;;;Stelazine;;;Stelazine fte;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
SULPIRIDE	CHEMBL26	4.0	C15H23N3O4S	Dogmatyl;;;Dolmatil;;;N05AL01;;;RD-1403;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
BETAXOLOL	CHEMBL423	4.0	C18H29NO3	ALO-140102 FREE BASE;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betoptic;;;Betoptic;;;Betoptic susp;;;Kerledex;;;Kerlone;;;SL-7521210 FREE BASE	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
SALICYLIC ACID	CHEMBL424	4.0	C7H6O3	2-Hydroxy-benzoic acid;;;Acnisal;;;Advanced pain relief callus removers;;;Advanced pain relief com removers;;;Bazuka;;;Clear away wart remover;;;Compound v;;;Compound w;;;Cuplex verruca;;;Dr. scholl's callus removers;;;Dr. scholl's corn removers;;;Dr. scholl's wart remover kit;;;Duofilm;;;Duofilm wart remover;;;Duoplant;;;Edinburgh;;;Erytex;;;FEMA NO. 3985;;;Freezone;;;Gppe paint;;;Ionil;;;Ionil-plus;;;Jadit;;;K-557;;;Keralyt;;;Lamivudine impurity, salicylic acid-;;;Lamivudine related compound salicylic acid;;;Metanium;;;Necol;;;Noxacorn;;;NSC-180;;;Occlusal;;;Phiso-clear;;;Phytex;;;Phytocil;;;Posalfilin;;;Pyralvex;;;Salactol;;;Salatac;;;Salicylic Acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic Acid;;;Salicylic acid;;;Salicylic acid rs;;;Salicylic acid soap;;;Saligel;;;Stri-dex;;;Thwart;;;Toepedo;;;Verrugon;;;Wartex	O=C(O)c1ccccc1O
OLSALAZINE	CHEMBL425	4.0	C14H10N2O6	Dipentum;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
PROPRANOLOL	CHEMBL27	4.0	C16H21NO2	AY-64043-;;;Inderal;;;Inderide-40/25;;;Inderide-80/25;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol	CC(C)NCC(O)COc1cccc2ccccc12
PRACTOLOL	CHEMBL6995	4.0	C14H22N2O3	[3-(4-Acetylamino-Phenoxy)-2-Hydroxy-Propyl]-Isopropyl-Ammonium;;;AY-21,011;;;Eraldin;;;I.C.I. 50,172;;;Practolol;;;Practolol;;;Practolol;;;Practolol;;;Practolol	CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
MECHLORETHAMINE	CHEMBL427	4.0	C5H11Cl2N	Chlormethine;;;Chlormethine;;;Chlormethine;;;Chlormethine;;;Mechlorethamine;;;Mechlorethamine;;;Mechlorethamine;;;Mustargen;;;NSC-10107;;;NSC-128663	CN(CCCl)CCCl
BENZYLPENICILLIN	CHEMBL29	4.0	C16H18N2O4S	Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin ;;;Bicillin;;;Crystapen g;;;J01CE01;;;NSC-193396;;;Penicillin-2;;;Penicillin G;;;Penicillin g;;;Permapen;;;Pfizerpen-AS	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
TROVAFLOXACIN	CHEMBL428	4.0	C20H15F3N4O3	CP-99219;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin	N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
CIMETIDINE	CHEMBL30	4.0	C10H16N6S	Acid-eze;;;Acitak 200;;;Acitak 400;;;Acitak 800;;;Brumetadina;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Dyspamet;;;Galenamet;;;Kentamet;;;NSC-335308;;;Peptimax 200;;;Peptimax 400;;;Peptimax 800;;;SKF-92334;;;Tagadine;;;Tagamet;;;Tagamet 100;;;Tagamet hb;;;Tagamet hb 200;;;Ultec;;;Valmagen;;;Zita	CN/C(=N/CCSCc1nc[nH]c1C)NC#N
GATIFLOXACIN	CHEMBL31	4.0	C19H22FN3O4	AM-1155;;;BMS-20658401;;;BMS-206584-01;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin hydrate;;;Gatifloxacin sesquihydrate;;;Gatifloxacin sesquihydrate;;;PD-135432;;;Tequin;;;Zymar;;;Zymaxid	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
LABETALOL	CHEMBL429	4.0	C19H24N2O3	AH-5158A FREE BASE;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Normodyne;;;Normozide;;;SCH-15719W FREE BASE;;;Trandate	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
MOXIFLOXACIN	CHEMBL32	4.0	C21H24FN3O4	Avelox;;;Avelox;;;Avelox i.v.;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Vigamox	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
